true/pred,Complain,Praise,Apologise,Thank,Criticize,Agree,Taunt,Flaunt,Joke,Oppose,Comfort,Care,Inform,Advise,Arrange,Introduce,Leave,Prevent,Greet,Ask for help
Complain,33,2,0,0,6,0,4,2,0,4,0,0,4,2,0,0,0,0,0,0
Praise,0,35,0,1,0,2,0,0,1,0,1,0,2,1,0,0,0,0,0,0
Apologise,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thank,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Criticize,3,0,0,0,12,0,3,0,1,0,0,1,1,1,0,0,0,1,0,0
Agree,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Taunt,1,1,0,0,2,0,3,0,2,0,0,0,1,0,0,1,0,0,0,1
Flaunt,4,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0
Joke,1,0,0,0,0,0,0,2,4,0,0,0,0,2,0,1,0,0,0,0
Oppose,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,1,1,0,0
Comfort,1,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0
Care,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0
Inform,2,1,0,0,1,0,0,1,0,0,1,1,42,1,5,1,1,0,0,0
Advise,0,0,0,0,0,1,2,0,0,0,1,1,0,19,1,0,0,0,0,0
Arrange,0,0,0,0,1,0,1,0,0,0,0,0,0,2,16,0,1,0,0,1
Introduce,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,15,0,0,0,0
Leave,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,12,0,0,0
Prevent,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,11,0,0
Greet,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,9,0
Ask for help,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,7
