true/pred,Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10,Class_11,Class_12,Class_13,Class_14,Class_15,Class_16,Class_17,Class_18,Class_19
Class_0,0.666667,0.035088,0.000000,0.000000,0.122807,0.000000,0.017544,0.017544,0.000000,0.070175,0.000000,0.000000,0.052632,0.017544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Class_1,0.023256,0.837209,0.000000,0.023256,0.000000,0.023256,0.000000,0.000000,0.000000,0.000000,0.023256,0.000000,0.046512,0.023256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Class_2,0.037037,0.000000,0.962963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Class_3,0.000000,0.040000,0.000000,0.960000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Class_4,0.173913,0.000000,0.000000,0.000000,0.521739,0.000000,0.043478,0.000000,0.000000,0.000000,0.000000,0.043478,0.043478,0.086957,0.043478,0.000000,0.000000,0.043478,0.000000,0.000000
Class_5,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Class_6,0.083333,0.083333,0.000000,0.000000,0.166667,0.000000,0.416667,0.000000,0.083333,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000
Class_7,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Class_8,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.500000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000
Class_9,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.400000,0.100000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.100000,0.000000,0.000000
Class_10,0.055556,0.000000,0.000000,0.000000,0.000000,0.000000,0.055556,0.000000,0.000000,0.055556,0.833333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Class_11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.947368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632
Class_12,0.070175,0.035088,0.000000,0.000000,0.017544,0.000000,0.000000,0.000000,0.017544,0.000000,0.017544,0.000000,0.701754,0.035088,0.052632,0.017544,0.017544,0.000000,0.017544,0.000000
Class_13,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.040000,0.040000,0.000000,0.800000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
Class_14,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090909,0.090909,0.727273,0.000000,0.045455,0.000000,0.000000,0.000000
Class_15,0.000000,0.095238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047619,0.000000,0.000000,0.000000,0.190476,0.000000,0.000000,0.619048,0.000000,0.000000,0.000000,0.047619
Class_16,0.117647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.117647,0.000000,0.117647,0.000000,0.647059,0.000000,0.000000,0.000000
Class_17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066667,0.066667,0.000000,0.133333,0.000000,0.000000,0.000000,0.000000,0.733333,0.000000,0.000000
Class_18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000,0.083333,0.000000,0.000000,0.750000,0.000000
Class_19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.800000
